id	type	woeId	label	wikiId	longitude	latitude	population	stateLabel	stateId	countryLabel	countryId	parentId
ea410d88	CountyAdminArea	12590489	Gilmer County, West Virginia	Gilmer_County,_West_Virginia	-80.83122	38.91358	7823	West Virginia	b0ff8d4f	United States	f4aa12bb	b0ff8d4f
1e905dd7	CountyAdminArea	12587751	Gilpin County, Colorado	Gilpin_County,_Colorado	-105.54896	39.84205	6243	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
dafc3b08	CountyAdminArea	12589098	Glacier County, Montana	Glacier_County,_Montana	-113.12645	48.65413	13753	Montana	50f779e5	United States	f4aa12bb	50f779e5
d2ea205c	CountyAdminArea	12587824	Glades County, Florida	Glades_County,_Florida	-81.21845	26.98939	13811	Florida	ac78ae1d	United States	f4aa12bb	ac78ae1d
588505d6	CountyAdminArea	12588739	Gladwin County, Michigan	Gladwin_County,_Michigan	-84.38703	43.98775	25449	Michigan	12ff3a85	United States	f4aa12bb	12ff3a85
2ed6596b	CountyAdminArea	12587931	Glascock County, Georgia	Glascock_County,_Georgia	-82.59439	33.22304	2971	Georgia	713f340f	United States	f4aa12bb	713f340f
52e23472	CountyAdminArea	12590093	Glasscock County, Texas	Glasscock_County,_Texas	-101.52003	31.86921	1409	Texas	0722e674	United States	f4aa12bb	0722e674
0ea77df5	CountyAdminArea	12587680	Glenn County, California	Glenn_County,_California	-122.39664	39.59175	28393	California	2902c400	United States	f4aa12bb	2902c400
ccfb083a	CountyAdminArea	12589265	Gloucester County, New Jersey	Gloucester_County,_New_Jersey	-75.16282	39.70165	291636	New Jersey	8fdbe72c	United States	f4aa12bb	8fdbe72c
22fb012f	CountyAdminArea	12590355	Gloucester County, Virginia	Gloucester_County,_Virginia	-76.54271	37.4242	37348	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
982b45ff	CountyAdminArea	12587932	Glynn County, Georgia	Glynn_County,_Georgia	-81.5267	31.23072	85292	Georgia	713f340f	United States	f4aa12bb	713f340f
1e527422	StateAdminArea		Goa	Goa	73.82778	15.498889	1458545			India	beea9395	beea9395
24a542e0	CountyAdminArea	12588740	Gogebic County, Michigan	Gogebic_County,_Michigan	-89.70455	46.43142	13975	Michigan	12ff3a85	United States	f4aa12bb	12ff3a85
dabf09e8	CountyAdminArea	12589099	Golden Valley County, Montana	Golden_Valley_County,_Montana	-109.21645	46.398	821	Montana	50f779e5	United States	f4aa12bb	50f779e5
84887eec	CountyAdminArea	12589490	Golden Valley County, North Dakota	Golden_Valley_County,_North_Dakota	-103.82752	46.93548	1761	North Dakota	ba23d922	United States	f4aa12bb	ba23d922
8d1609e7	CountyAdminArea	12590094	Goliad County, Texas	Goliad_County,_Texas	-97.46602	28.65707	7658	Texas	0722e674	United States	f4aa12bb	0722e674
6fd6ff6d	CityTown|CountyAdminArea	741940	Gondomar, Portugal	Gondomar,_Portugal	-8.53254	41.14116	141471			Portugal	a2222b56	a2222b56
11cee511	CountyAdminArea	12590095	Gonzales County, Texas	Gonzales_County,_Texas	-97.49463	29.44753	20837	Texas	0722e674	United States	f4aa12bb	0722e674
90a476c6	CountyAdminArea	12590356	Goochland County, Virginia	Goochland_County,_Virginia	-77.88773	37.73397	23753	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
b46ff427	CountyAdminArea	12588821	Goodhue County, Minnesota	Goodhue_County,_Minnesota	-92.64161	44.45432	46340	Minnesota	11f1fa88	United States	f4aa12bb	11f1fa88
8c507a9a	CountyAdminArea	12588057	Gooding County, Idaho	Gooding_County,_Idaho	-114.84051	42.92392	15179	Idaho	342f5b41	United States	f4aa12bb	342f5b41
7536a380	CountyAdminArea	12587933	Gordon County, Georgia	Gordon_County,_Georgia	-84.87855	34.50706	57963	Georgia	713f340f	United States	f4aa12bb	713f340f
ea930cd3	CountyAdminArea	12590613	Goshen County, Wyoming	Goshen_County,_Wyoming	-104.35373	42.08801	13211	Wyoming	fa783aae	United States	f4aa12bb	fa783aae
38f29ba3	CountyAdminArea	12589174	Gosper County, Nebraska	Gosper_County,_Nebraska	-99.86866	40.52556	1990	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
71a5acd2	CountyAdminArea|StateAdminArea	2347048	Gotland County	Gotland_County	18.5943	57.4176	58464			Sweden	dc88bbf0	dc88bbf0
86cb9e85	CityTown|CountyAdminArea	741978	Gouveia, Portugal	Gouveia,_Portugal	-7.593	40.49509	17346			Portugal	a2222b56	a2222b56
33a587c6	CountyAdminArea	12588402	Gove County, Kansas	Gove_County,_Kansas	-100.48326	38.91541	2636	Kansas	2d125485	United States	f4aa12bb	2d125485
bea5d4da	CountyAdminArea	12587934	Grady County, Georgia	Grady_County,_Georgia	-84.22682	30.87751	24633	Georgia	713f340f	United States	f4aa12bb	713f340f
163a6537	CountyAdminArea	12589640	Grady County, Oklahoma	Grady_County,_Oklahoma	-97.88196	35.02958	55834	Oklahoma	ca8120a2	United States	f4aa12bb	ca8120a2
295a695d	CountyAdminArea	12589252	Grafton County, New Hampshire	Grafton_County,_New_Hampshire	-71.84086	43.96761	89886	New Hampshire	f51b0193	United States	f4aa12bb	f51b0193
b9843fde	CountyAdminArea	12587584	Graham County, Arizona	Graham_County,_Arizona	-109.78638	33.03874	38837	Arizona	69f80530	United States	f4aa12bb	69f80530
a8a82f19	CountyAdminArea	12589411	Graham County, North Carolina	Graham_County,_North_Carolina	-83.81034	35.34159	8441	North Carolina	2a863897	United States	f4aa12bb	2a863897
d1d189a9	CityTown|CountyAdminArea	12588403	Graham Township, Graham County, Kansas	Graham_Township,_Graham_County,_Kansas	-99.88295	39.3496	53	Kansas	2d125485	United States	f4aa12bb	2d125485
68903736	CountyAdminArea	12589940	Grainger County, Tennessee	Grainger_County,_Tennessee	-83.49396	36.2506	23320	Tennessee	487c4d03	United States	f4aa12bb	487c4d03
2ab904f1	CountyAdminArea	12587752	Grand County, Colorado	Grand_County,_Colorado	-106.13952	40.08514	15734	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
85e18b0f	CountyAdminArea	12590270	Grand County, Utah	Grand_County,_Utah	-109.61507	38.99985	9754	Utah	6c0dccb8	United States	f4aa12bb	6c0dccb8
c8d5bcaf	CountyAdminArea	12589491	Grand Forks County, North Dakota	Grand_Forks_County,_North_Dakota	-97.39428	47.93366	69451	North Dakota	ba23d922	United States	f4aa12bb	ba23d922
ae34480a	CountyAdminArea	12590296	Grand Isle County, Vermont	Grand_Isle_County,_Vermont	-73.29072	44.78844	7235	Vermont	351cf73c	United States	f4aa12bb	351cf73c
38b9001f	CountyAdminArea	12588741	Grand Traverse County, Michigan	Grand_Traverse_County,_Michigan	-85.5753	44.75157	93088	Michigan	12ff3a85	United States	f4aa12bb	12ff3a85
498dde64	CountyAdminArea	12589100	Granite County, Montana	Granite_County,_Montana	-113.45715	46.38543	3379	Montana	50f779e5	United States	f4aa12bb	50f779e5
ecc7243f	CountyAdminArea	12587621	Grant County, Arkansas	Grant_County,_Arkansas	-92.44307	34.2777	18265	Arkansas	23c77423	United States	f4aa12bb	23c77423
b4358a66	CountyAdminArea	12588206	Grant County, Indiana	Grant_County,_Indiana	-85.65454	40.51602	65769	Indiana	2e86d5a1	United States	f4aa12bb	2e86d5a1
853d7111	CountyAdminArea	12588404	Grant County, Kansas	Grant_County,_Kansas	-101.30814	37.56205	7150	Kansas	2d125485	United States	f4aa12bb	2d125485
2050b7da	CountyAdminArea	12588516	Grant County, Kentucky	Grant_County,_Kentucky	-84.63107	38.63824	25069	Kentucky	c32ba685	United States	f4aa12bb	c32ba685
